id,include,topic,type,title,description,link,
12,M,Data management,KB-i,Data collab,Wiki collaborative space of the Data Ecosystem Coordination Group,https://webgate.ec.europa.eu/fpfis/wikis/display/DataCollab/Data+Ecosystem+Collaborative+Space,
13,YY,Data management,KB-i,More on LDC,"Find out more on the role of LDCs, and a list of LDCs across DGs",https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Local+data+correspondent,
14,M,Data management,KB-i,EC Statistical Coordination,Wiki of the EC-wide network of Local Statistical Correspondents (located at each DG) for sharing information between LSCs and ESTAT (coordinating),https://myintracomm-collab.ec.europa.eu/networks/STATCOOR/SitePages/Home.aspx,
15,M,Data management,KB-i,Digital iLab,Digital innovationLab - Community on the Data Ecosystem Collaborative Space,https://webgate.ec.europa.eu/fpfis/wikis/display/DataCollab/Digital+iLab,
16,M,Data management,KB-i,Linked Data and Semantic Technologies,Community on the EC Data Ecosystem Collaborative Space,https://webgate.ec.europa.eu/fpfis/wikis/display/DataCollab/Linked+Data,
17,M,Data management,KB-i,Semantic web training,Lunchtime presentations organised in the Publications Office between October 2018 and April 2019,https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Semantic+web,
18,YY,Data management,R,EC Data Advisory,,EC-DATA-ADVISORY@ec.europa.eu,
19,Y,Data management,R,Local Data Correspondent(s) (LDC),Role in the Data Governance of the EC - one in each DG,,
20,Y,Data management,R,Statistical Correspondents,List of Local Statistical Correspondents,https://myintracomm-collab.ec.europa.eu/networks/STATCOOR/Useful%20documents/List%20of%20statistical%20correspondents.docx,
21,YY,Data management,S,EC Data Advisory,"EC corporate service for data related matters - dispatches requests to the right competences, drawing on already existing services - Link to wiki space and screenshots of table of contents",https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Data+advisory,
22,Y,Data management,S,MIDAS,Modeling Inventory and Knowledge Management System,https://web.jrc.ec.europa.eu/policy-model-inventory/#dashboard,
23,M,Data management,S,EC Data Inventory,"First step toward creating a Data Catalogue, the infrastructure supporting the reuse of European Commission data assets. It contains a list of data assets produced by EC different DGs. The links points to a ",https://qlik.jrc.cec.eu.int/ecas/sense/app/c266b931-c03e-4770-b774-eacf070a6565/sheet/750aa2c3-e802-4542-8e67-23959c621d49/state/analysis ,
24,YY,Data management,S,EC Data Catalogue - interim solution,"This  data catalogue is an interim solution to centralise Commission data inventory and Inventory of the statistics product in one place, where Local and Statistical Data Correspondents can update their data assets respectively",https://ec-data.net1.cec.eu.int/,
25,Y,Data protection,KB-i,EC Data Protection Guide,Edition Sept 2019. Link to the PDF and screenshot of ToC,https://myintracomm.ec.europa.eu/sg/Documents/data_protection_guide.pdf,
26,Y,Data protection,KB-x,Flowcharts and Checklists on Data Protection,Brochure from the European Data Protection Supervisor (July 2020),https://edps.europa.eu/sites/default/files/publication/flowcharts_and_checklists_on_data_protection_brochure_en_1.pdf,
27,YY,Data protection,R,Data Protection Coordinator(s),"Role in the Data Protection Governance of the EC - each DG has one. The DG's DPC is the first level of contact for data protection related issues. The link points to a list of DPCs, assistants and FMB across DGs",https://myintracomm.ec.europa.eu/sg/dpo/Documents/dpc_list.pdf,
28,M,Data protection,R,Data protection actors,Controller; Processor; Data Protection Coordinators (DPCs); Data Protection Officer (DPO); European Data Protection Supervisor (EDPS),https://myintracomm.ec.europa.eu/sg/dpo/Pages/actors.aspx,
29,Y,Data protection,S,DPO Public Register,Register of the Data Protection Officer (DPO) - keeping records of all data processing operations under the 2018 data protection regulation (GDPR),https://ec.europa.eu/dpo-register/,
30,YY,Dataviz,KB-i,EU Community of Practice on Data Visualisation,Interinstitutional community space to share and learn about data visualisation,https://webgate.ec.europa.eu/connected/groups/data-visualisation,
31,Y,Dataviz,KB-i,Data visualisation tutorial,"A tutorial explaining all the steps in the visualisation design process, including guidance on how to use the tutorial. It also includes a fast-track checklist for dataviz projects",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Data+visualisation+tutorial,
32,Y,Dataviz,KB-i,Data visualisation  training programme (Mar-Oct 2019),"Consisting of 5 trainings, 3 workshops and 4 webinars. ",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Data+visualisation+training+programme,
33,Y,Dataviz,KB-x,Training programme on dataviz,Consists of 3 webinars delivered by Maarten Lambrechts - part of a wider dataviz training package for internal audience,https://academy.europa.eu/courses/data-visualisation,
34,Y,Dataviz,KB-x,EU DataViz webinars,Collection of > 20 webinars on data visualisation,https://www.youtube.com/watch?v=P5LJGdmRzD0&list=PLT5rARDev_rnycvW6qNol1_uGyR5FAd-5,
35,N,Dataviz,KB-x,Visual Vocabulary by the Financial Times,,https://ft-interactive.github.io/visual-vocabulary/,
36,M,Dataviz,KB-x,,,https://chartmaker.visualisingdata.com/,
37,YY,Dataviz,KB-x,RawGraphs,Try more unusual chart types in this online tool.,https://rawgraphs.io/,
38,M,Dataviz,KB-x,,,https://stephanieevergreen.com/data-visualization-checklist/,
39,M,Dataviz,KB-x,,,https://charticulator.com/,
40,M,Dataviz,KB-x,,,https://fastcharts.io/,
41,M,Dataviz,KB-x,,,https://quartz.github.io/Chartbuilder/,
42,Y,Dataviz,S,DemPub,Introduce a request for an interactive data visualisation via DemPub,https://op.europa.eu/en/web/Dempubweb/Dempub,
43,M,Metadata,KB-i,Data model DCAT-AP-OP,The data model of the EU ODP Legacy (the part of data.europa.eu that references datasets from the EU Institutions and bodies),https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?pageId=227287430,
44,Y,Metadata,KB-x,Data quality guidelines,Provides general recommendations data publishers should consider when publishing data. The link points to the solution page on joinup,https://joinup.ec.europa.eu/collection/open-data/solution/data-quality-guidelines/about,
45,Y,Metadata,KB-x,Eurovoc,"EuroVoc is a multilingual, multidisciplinary thesaurus covering the activities of the EU. It contains terms in 23 official EU languages, plus in three languages of countries which are candidates for EU accession. EuroVoc uses semantic web technologies that reflect World Wide Web Consortium (W3C)
recommendations and the latest trends in thesaurus standards. ",https://op.europa.eu/en/web/eu-vocabularies/dataset/-/resource?uri=http://publications.europa.eu/resource/dataset/eurovoc,
46,Y,Metadata,KB-x,EU Vocabularies,"The vocabularies managed by the EU institutions and bodies. This includes controlled vocabularies, schemas, ontologies, data models, etc. ",https://op.europa.eu/en/web/eu-vocabularies,
47,YY,Metadata,KB-x,DCAT,"The Data Catalog Vocabulary (DCAT) is a vocabulary designed to facilitate interoperability
between data catalogs published on the Web. DCAT enables a publisher to describe
datasets and data services in a catalog using a standard model and vocabulary that
facilitates the consumption and aggregation of metadata from multiple catalogs. The link points to the W3C Recommendation (DCAT version 2, Feb 2020). DCAT version 3 under development.",https://www.w3.org/TR/2020/REC-vocab-dcat-2-20200204/,
48,YY,Metadata,KB-x,DCAT and DCAT-AP self-paced courses,A series of 3 courses on DCAT and DCAT-AP (General introduction; Basic user; Advanced user),https://academy.europa.eu/courses/?search=DCAT,
49,M,Metadata,KB-x,Eurovoc Handbook,,https://op.europa.eu/o/opportal-service/euvoc-download-handler?cellarURI=http%3A%2F%2Fpublications.europa.eu%2Fresource%2Fdistribution%2Fdocumentation%2Feurovoc%2Fhandbook%2Fpdf%2Fstddoc%2FEuroVoc-Handbook.pdf&fileName=EuroVoc-Handbook.pdf,
50,Y,Metadata,R,EU Vocabularies team in OP,,OP-EU-VOCABULARIES@publications.europa.eu,
51,M,Open data,KB-i,,"Open Data Community wiki (ODC wiki), maintained by the Open Data team",https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?spaceKey=EUODDVC&title=EU+Open+Data+Community+Home,
52,YY,Open data,KB-i,,FAIR principles and related resources,https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?pageId=530157739,
53,YY,Open data,KB-i,Open Data Guide,"EU open data - The basics for EU data providers (Publications Office, 2016)",https://op.europa.eu/en/publication-detail/-/publication/c631a6de-ecd5-11e5-8a81-01aa75ed71a1,
54,M,Open data,KB-i,Landscaping surveys on open data,"Conclusions and recommendations of the exercise: Open Data in Commission DGs (2017), EU Agencies (2018) and EU Institutions (2019)",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Landscaping+surveys+on+open+data,
55,YY,Open data,KB-x,data.europa academy,Learning corner on Open Data with 4 thematic pillars: Policy | Impact | Technology | Quality,https://data.europa.eu/en/academy,
56,YY,Open data,KB-x,eLearning programme on open data,"eLearning programme on data.europa academy, consisting of 16 modules covering all aspects of open data. Suits all needs from complete newcomer to an expert. Available in EN, FR, IT, DE, ES, SV",https://data.europa.eu/elearning/en/#/id/co-01,
57,YY,Open data,KB-x,Guides on the ODI,"From data publishing to ethics, free guides created by experts from the ODI and beyond",https://theodi.org/knowledge-opinion/guides/,
58,YY,Open data,KB-x,Open Research Europe Data Guidelines,"Specific to research data; Provide information about research data that needs to be included when publishing an article in Open Research Europe, where data can be stored and how data should be presented",https://open-research-europe.ec.europa.eu/for-authors/data-guidelines,
59,Y,Open data,KB-x,Guiding you in Open Science,(specific to research data) OpenAIRE guides supporting the research community on its way to Open Science,https://www.openaire.eu/guides,
60,Y,Open data,KB-x,FAIR principles,How to make your data FAIR - OpenAIRE guide (specific to research data),https://www.openaire.eu/how-to-make-your-data-fair,
61,M,Open data,KB-x,FAIR Data Maturity Model,"FAIR Data Maturity Model: Specification and Guidelines (RDA, 2020)",https://www.rd-alliance.org/sites/default/files/FAIR%20Data%20Maturity%20Model.pdf,
62,YY,Open data,R,Open data team in OP,,OP-DATA-EUROPA-EU@publications.europa.eu,
63,YY,Open data,S,data.europa.eu,The official portal for European data,https://data.europa.eu/en,
64,M,Persistent identification & citation,KB-i,EU citation style,Report on harmonisation of the EU citation styles,,
65,Y,Persistent identification & citation,KB-i,URI,A Uniform Resource Identifier (URI) is a compact sequence of characters that identifies an abstract or physical resource. The link points to the pURI Committee wiki,https://webgate.ec.europa.eu/fpfis/wikis/display/uricommittee/URI+Committee+Home,
66,M,Persistent identification & citation,KB-x,Resources with persistent URIs,List of 'Resources with persistent URIs of the EU institutions and bodies',https://data.europa.eu/URI.html,
67,Y,Persistent identification & citation,KB-x,the DOI® System,,https://www.doi.org/ ,
68,Y,Persistent identification & citation,KB-x,DCAT-AP,"The DCAT Application Profile for data portals in Europe (DCAT-AP) is a specification based on the Data Catalogue Vocabulary (DCAT) developed by W3C. This application profile is a specification for metadata records to meet the specific application needs of data portals in Europe while providing semantic interoperability with other applications on the basis of reuse of established controlled vocabularies (e.g. EuroVoc) and mappings to existing metadata vocabularies (e.g. Dublin Core, SDMX, INSPIRE",https://joinup.ec.europa.eu/collection/semantic-interoperability-community-semic/solution/dcat-application-profile-data-portals-europe?page=0,
69,M,Persistent identification & citation,R,URI team in OP,Functional Mailbox (FMB),OP-URI@publications.europa.eu,
70,Y,Persistent identification & citation,R,DOI team in OP,"EU Digital Object Identifier (DOI) service for datasets, publications and articles",OPDL-DOIRA@publications.europa.eu,
71,M,Persistent identification & citation,S,European Citation Tool project,Citation tool under development by OP - prototype ready,[prototype location can't be shared],
72,Y,Persistent identification & citation,S,DemPub,Introduce a request for identifiers via DemPub,https://op.europa.eu/en/web/Dempubweb/Dempub,
73,M,Persistent identification & citation,,URI vs DOI,"Study analysing the differences between the use of pURIs and DOIs (PwC EU Services, 2018)",https://webgate.ec.europa.eu/fpfis/wikis/download/attachments/530157739/D04.02.3%20Comparison%20of%20using%20PURI%20%20DOI%20v0.14.docx?version=1&modificationDate=1593689423916&api=v2,
74,Y,Publishing,KB-i,,Graphic Design Style Guide,,
75,N,Publishing,KB-i,Checklists from the training on the Publishing Cycle,,,
76,Y,Publishing,KB-x,Interinstitutional Style Guide,Interinstitutional Style Guide (ISG),https://publications.europa.eu/code/en/en-000100.htm,
77,YY,Publishing,KB-x,OP training on accessibility,"eLearning module on accessible digital publishing (inclusive publishing), composed of a series of video tutorials, which are complemented by other pertinent information",https://op.europa.eu/en/web/accessibility,
78,Y,Publishing,R,DemPub team,FMB,OP-Dempubweb@ec.europa.eu,
79,YY,Publishing,R,OP team on accessible publications,,OP-ACCESSIBLE-PUBLICATIONS@publications.europa.eu,
80,YY,Publishing,R,DemPub,,OP-SERVICES-REQUEST@publications.europa.eu,
81,YY,Publishing,R,Editorial support team in OP,,OP-EDITORIAL-SUPPORT-SERVICES@publications.europa.eu,
82,Y,Publishing,S,Interinstitutional Database for EU Studies,"A common entry point to study projects planned or already conducted on behalf of the EU institutions and bodies. As well as providing information on each study project registered, this repository also contains documents resulting from these projects, whether public or restricted to inter-institutional access.",https://webgate.ec.testa.eu/publications/studiesdb/Home.action,
83,YY,Publishing,S,PubliCare,Online catalogue of OP services - available to EU staff,https://webgate.ec.europa.eu/multisite/publicare/en,
84,YY,Publishing,S,DemPub,"Web platform for introducing requests for OP services (other than OJ) - available to EU staff, sign-in required (EU Login may be used as alternative to an OP portal account)",https://op.europa.eu/en/web/Dempubweb/Dempub,
85,YY,Publishing,S,DemPub,"Introduce a request for editorial support services (collaborative planning, editorial advice, performance measurement) via DemPub",https://op.europa.eu/en/web/Dempubweb/Dempub,
86,M,Publishing,KB-i,OP domain training in EU Learn,"A series of courses, online webinars and e-learning modules covering the publishing cycle, offered on EU Learn",https://webgate.ec.europa.eu/ilp/pages/catalogsearch.jsf?catalogId=0&sidebarExpanded=true&q=%7B!q.op%3DAND%7D%20OPdomaintraining&rows=7,
87,YY,Dataviz,KB-x,The Data Viz Project,Find the right visualisation type by browsing this chart encyclopedia.,https://datavizproject.com/,
88,YY,Writing,KB-x,"All about legibility, readablility, and comprehension","Learn about legibility, readabiltiy, and comprehension. ",https://www.nngroup.com/articles/legibility-readability-comprehension/,
89,YY,Writing,KB-x,Using plain language,An article that summarizes current research on plain language and provides practical instructions to write in plain language. ,https://www.nngroup.com/articles/plain-language-experts/,
90,Y,Dataviz,S,GISCO IMAGE,"IMAGE is a web-tool used for the production of Thematic Maps for a pre-defined map extent of the EU/EFTA/Candidate Countries using NUTS boundaries and Statistical regions. It is intended to enable users to quickly make professional, statistical maps for publication that adhere to Eurostat's Style guide.",https://gisco-services.ec.europa.eu/image/#/a4-efta-2016,
91,Y,Publishing,KB-x,ESTAT Graphical Style Guide,The Eurostat graphical style guide describes rules and conventions for the layout of Eurostat publications. It was developed as a complement of the Interinstitutional Style Guide.,https://ec.europa.eu/eurostat/documents/4187653/7192088/STYLE_GUIDE_2016.pdf/dbdf7b92-5ac5-4313-ae80-296f52692e5c?t=1457450262000,
92,M,Open data,KB-x,The Third Wave of Open Data Toolkit,"Operational guidance on capturing the institutional and societal value of data reuse (March 2021, The GovLab)",http://files.thegovlab.org/The-Third-Wave-of-Open-Data-Toolkit.pdf,
93,YY,Writing,KB-x,How people read online,A summary of current research on how people read online,https://www.nngroup.com/articles/how-people-read-online/,
94,YY,Writing,KB-x,Succinct writing,A guide to writing clearly and consicely.,https://www.nngroup.com/articles/be-succinct-writing-for-the-web/,
95,YY,Writing,KB-x,The inverted pyramid structure,Instruction on how to use the inverted pyramid structure in your texts. ,https://www.nngroup.com/articles/inverted-pyramid/,
96,YY,Writing,KB-x,The four dimensions of tone of voice,,https://www.nngroup.com/articles/tone-of-voice-dimensions/?lm=tone-voice-users&pt=article,
97,YY,Writing,KB-x,Writing for web accessibility,,https://www.w3.org/WAI/tips/writing,
98,YY,Dataviz,KB-x,What to consider when visualizing data for colorblind readers,Part two of a three part series by DataWrapper on visualizing data for colorblind readers. ,https://blog.datawrapper.de/colorblindness-part2/,
99,YY,Dataviz,KB-x,An intro to designing accessible data visualisations,10 dos and don'ts to keep in mind when designing accessible data visualizations,https://fossheim.io/writing/posts/accessible-dataviz-design/,
100,YY,Dataviz,KB-x,Writing alt text for data visualisation,A handy guide to writing alt text for data visualisations,https://medium.com/nightingale/writing-alt-text-for-data-visualization-2a218ef43f81,
101,YY,Dataviz,KB-x,About data visualisation style guides ,A short overview of what data visualisation style guides are including some examples of such style guides.,https://medium.com/nightingale/style-guidelines-92ebe166addc,
102,YY,,KB-x,5 reasons visual identity matters,Short overview on the importance of a viusal identity for government; focused on logo design and logo systems. ,https://medium.com/organizer-sandbox/5-reasons-visual-identity-matters-and-why-the-public-sector-should-care-9b1546962e98,
103,YY,,KB-x,How to create a brand style guide,Guidance to creating a visual identity.,https://en.99designs.ch/blog/logo-branding/how-to-create-a-brand-style-guide/#components,
104,YY,,KB-x,Colbis – Colorblindness Simulator,Upload your visualisations to this simulator to check how colorblind people will perceive the visualisation.,https://www.color-blindness.com/coblis-color-blindness-simulator/,
105,YY,,KB-x,Color Oracle,"A free colorblind simulator app for Mac, Windows, and Linux. ",http://www.colororacle.org/,
106,YY,Dataviz,KB-x,Viz Palette,A website that helps you create and test color palettes for data visualisation. ,https://projects.susielu.com/viz-palette,
107,YY,Publishing,KB-i,Europa Web Guide,"The Europa Web Guide is the official rulebook for the European Commission's web presence, covering editorial, visual, regulatory and technical aspects. It describes to DGs and Executive agencies how to plan, design, build, maintain and archive their websites.  

To ensure the coherence, relevance and cost-effectiveness of the Commission’s overall web presence, in line with the decisions on Synergies and Efficiencies, this guide contains both mandatory rules and guidelines based on best practice and industry standards that are highly recommended.  ",https://wikis.ec.europa.eu/display/WEBGUIDE/Europa+Web+Guide,
108,Y,Copyright,KB-x,Quick reference guide,A quick reference guide for placing identifiers and publisher's information in printed and PDF publications,http://publications.europa.eu/code/pdf/Quick_reference_guide_26-02-2021.pdf,
109,M,Publishing,KB-i,Draft manuscript checklist,"Use this checklist to make sure your draft manuscript is on track to become a good
final manuscript",https://webgate.ec.europa.eu/ilp/pages/librarycontent.jsf?courseId=44293598&mediaId=45756304,
110,M,Publishing,KB-i,Final content checklist,Use this checklist to make sure your content is final and complete and ready to be sent for production,https://webgate.ec.europa.eu/ilp/pages/librarycontent.jsf?courseId=44293598&mediaId=45758828,
111,YY,Publishing,KB-i,Choosing appropriate media for your publication,"Before you choose which media will suit your publication, here are a few questions
that you should ask yourself and some facts to consider",https://webgate.ec.europa.eu/ilp/pages/librarycontent.jsf?pollingMode=on&mediaId=45758783&courseId=44293598,
112,Y,Publishing,KB-x,European Commission visual identity,,https://ec.europa.eu/info/resources-partners/european-commission-visual-identity_en,
113,M,Publishing,KB-x,European Parliament visual identity,,https://www.europarl.europa.eu/downloadcentre/en/visual-identity,
114,M,Publishing,KB-x,European Council visual identity,,https://www.consilium.europa.eu/en/general-secretariat/corporate-policies/visual-identity/,
115,Y,Writing,KB-i,European Commission web writing guidelines,"Produced by Directorate-General for Communication (B.3), recommended reference for producing online texts",https://wikis.ec.europa.eu/display/WEBGUIDE/02.+Web+writing+guidelines,
116,M,Writing,KB-i,Commission style guide,"Similar to the Interinstitutional style guide. Recommended reference for writing European Commission internal documents, as well as its communications with the outside world",https://wikis.ec.europa.eu/download/attachments/6824833/commission_style_guide.pdf?version=1&modificationDate=1594633342434&api=v2,
117,YY,Persistent identification & citation,KB-i,Data citation: a guide to best practice,"A guide to best practice for data citation, including checklists for footnotes and references, diagrams and examples of footnote and reference style with date format compliant to DCAT-AP/the Interinstitutional Style Guide",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Data+citation,
118,M,Publishing,KB-i,Study management,Harmonised procedures for the management of studies,https://myintracomm.ec.europa.eu/sg/better_regulation/Documents/studies-mgt_harmonised-procedures.pdf,
119,N,Evidence Transparency,KB-x,Better Regulation Guidelines and Toolbox,,https://ec.europa.eu/info/law/law-making-process/planning-and-proposing-law/better-regulation-why-and-how/better-regulation-guidelines-and-toolbox_en,
120,YY,Copyright,KB-i,Licencing Assistant,The licence assistant provides a description of the available licences. It also gives an overview of how to apply licences as re-publisher/distributor of Open Data and how to combine multiple licences,https://data.europa.eu/en/training/licensing-assistant,
121,YY,Publishing,KB-i,European Commission Guidelines for Inclusive Communication,"The purpose of the guidelines is to set common standards for inclusive communication and to provide practical examples and advice concerning both internal and external communication. These guidelines build on the existing Commission Style Guide and encompass various aspects of inclusive communication, from written to visual communications and IT requirements for greater accessibility. They include general principles; dedicated chapters on gender, LGBTIQ, racial and ethnic background, cultures, lifestyles or beliefs, dissabilities, age; and a quick checklist for preparing inclusive communictation material.",https://myintracomm.ec.europa.eu/sg/task-force-equality/Documents/guidelines-for-Inclusive-communication.pdf,
122,Y,Data management,KB-i,Operational Corporate  Guidance on Data Quality,"A set of recommendations and practical tools which can be used to assess, record, and improve data quality across the Commission services.",,
123,YY,Metadata,KB-x,EU Vocabularies catalogue,Browse and access Eurovoc and other EU reference data and online tools to help you describe data consistently. ,https://op.europa.eu/en/web/eu-vocabularies,
124,M,Open data,KB-x,handbook.opendata.swiss,"Guidelines for the Open Government Data strategy 2019-2023 of the Swiss federal govenrment, including a decision tree on whether data can be released as open data. Available in FR and DE.",https://handbook.opendata.swiss/fr/content/glossar/bibliothek/ogd-richtlinien.html,
125,YY,Writing,KB-i,Writer's toolbox,"A set of resources gathered by the DGT's editing service, a team of native English speakers who edit, train and advise on clear writing across the Commission.",https://myintracomm.ec.europa.eu/work/EN/writing-help-advice,
126,YY,Writing,KB-i,European Commission Clear Writing Guide,"A booklet offering some principles, not rules, that will help you avoid common pitfalls and write clearly in English.",https://myintracomm-collab.ec.europa.eu/networks/CWC/SiteAssets/SitePages/Clear-Writing-Guide-Booklet/Clear-Writing-Guide-Booklet_A5_Web.pdf,
